,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,!!! RT @mayasolovely: Kama mwanamke haupaswi kulalamika juu ya kusafisha nyumba yako. & amp; kama mwanamume unapaswa kuchukua takataka kila wakati ..
1,3,0,3,0,1,!!!!! RT @ mleew17: mtoto wa kiume baridi ... tyga dwn mbaya kwa cuffin dat hoe katika nafasi ya 1 !!
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg !!!! RT @ 80sbaby4life: Umewahi kutomba kitoto na anaanza kulia? Utachanganyikiwa kama shit
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_kwa msingi yeye anaonekana kama utulivu
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: Shit unayosikia juu yangu inaweza kuwa ya kweli au inaweza kuwa faker kuliko yule bitch aliyeiambia ya & # 57361;
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!! ""@ T_Madison_x: Ujinga unanipiga tu..dai wewe ni mwaminifu na unashuka kwa mtu lakini bado unacheza na majembe! & # 128514; & # 128514 ; & # 128514; """
6,3,0,3,0,1,"!!!!!! ""@__ BrighterDays: siwezi kukaa tu na KUCHUKIA mtu mwingine. Nilipata ujinga mwingi!"""
7,3,0,3,0,1,!!!! & # 8220; @selfiequeenbri: sababu nimechoka na nyinyi wakubwa wanaokuja kwa ajili yetu wasichana wembamba !! & # 8221;
8,3,0,3,0,1,& amp; huenda usipate kurudi nyuma & amp; hiyo ni hiyo
9,3,1,2,0,1," ""@rhythmixx_: starehe ni pamoja na: kupigana Mariam"" """
11,3,0,3,0,1,"jogoo """
12,3,0,2,1,1,Keeks ni bitch yeye hupinda kila mtu lol niliingia kwenye mazungumzo kama haya. Smh
13,3,0,3,0,1,Murda Gang bitch ardhi yake ya Genge
14,3,1,2,0,1,Kwa hivyo majembe ambayo moshi ni khasiri? Ndio ... endelea IG
15,3,0,3,0,1,vibanzi vibaya ndio kitu pekee ambacho napenda
16,3,0,3,0,1,jamaa ondoka kwangu
17,3,1,2,0,1,bitch nigga unikose nayo
18,3,0,3,0,1,jike plz chochote
19,3,0,3,0,1,jike unampenda nani
20,3,0,3,0,1,mateke hukatwa kila siku B
21,3,0,3,0,1,chupa nyeusi & amp; kitoto kibaya
22,3,0,3,0,1,amevunja mtoto mdogo asiniambie chochote
23,3,0,3,0,1,ghairi yule mjinga kama Nino
24,3,0,3,0,1,huwezi kuona majembe haya hayabadiliki
25,3,0,2,1,1,kutomba hakuna huyo mjinga hata anyonye Dick & # 128514; & # 128514; & # 128514; video za Kermit zinampiga IG up
26,3,0,3,0,1,nimepata kidole kidole kwenye sakafu yangu ngumu & # 128514; http://t.co/cOU2WQ5L4q
27,3,0,3,0,1,midomo yake ya pussy kama milango ya Mbinguni & # 128524;
28,3,0,3,0,1,jembe linampiga nini
29,3,0,3,0,1,nilikutana na yule mkundu kwenye Bahari ya Dk. nimempa kidonge kile kidonge & # 128524;
30,3,0,3,0,1,Nahitaji kitumbua cha mbwa-mwitu anayetamba na Hennessy
31,3,0,3,0,1,Natumia pesa zangu jinsi ninataka bitch biashara yangu
32,3,0,3,0,1,Ninatuma kitita changu cha zamani kitumbua changu kipya
33,3,0,3,0,1,Ningependa kusema im nyuma yangu ya zamani lakini kuumwa yangu ya zamani ingekuwa msisimko & # 128524;
34,3,0,3,0,1,ikiwa unapiga vita hiyo Mchezo wa Mauaji pussy nigga nyamaza
35,3,0,3,0,1,ikiwa vidole havijafanywa wewe unanuka
36,3,0,3,0,1,im done with bitches caps its a wrap for that. if you a angry bird theres a app for that Nimefanya na kuumwa na machungu.
37,3,0,3,0,1,huyo ni mtoto
38,3,0,2,1,1,sio kitu cha kukata kitita
39,3,0,3,0,1,jus meet son now he ya mane punda anauma #Shots
40,3,0,1,2,2,viwete wakilia juu ya majembe hiyo ni machozi ya mtu mcheshi
